question,theme,count,denominator,percent,working definition
Barriers,"Time, workload and stress",4,7,57,"International work competes with full schedules or creates additional stress."
Barriers,"Language, curriculum and structural fit",4,7,57,"Language policy, national curricula or programme structures limit participation."
Barriers,"Funding and financial priorities",3,7,43,"Money or financial prioritisation constrains time, travel or development."
Barriers,"Motivation, curiosity and personal obligations",2,7,29,"Interest, encouragement or responsibilities outside the institution shape participation."
Barriers,"Unequal or unclear terms of internationalisation",2,7,29,"The meaning or language hierarchy of internationalisation is questioned."
Ideal,"Embedded, regular and institution-wide",3,7,43,"Internationalisation is part of ordinary teaching, study and research."
Ideal,"Reciprocal mobility and face-to-face exchange",3,7,43,"Students or staff meet and learn in one another's contexts."
Ideal,"Collaboration, co-development and shared learning",3,7,43,"Partners build courses or knowledge together."
Ideal,"Pluralism, context and respectful inclusion",3,7,43,"Internationalisation supports many voices, contextual understanding and academic freedom."
Ideal,"Flexible, hybrid joint-course formats",1,7,14,"Joint study combines online work with an intensive hosted period."
Conditions,"Protected time and human capacity",3,7,43,"Workload time or capable people are allocated to international work."
Conditions,"Leadership and administrative infrastructure",3,7,43,"Leadership, tools, contacts or administrative expertise support participation."
Conditions,"Partnerships and collegial networks",3,7,43,"Durable relationships and recurring meetings sustain collaboration."
Conditions,"Dedicated funding",2,7,29,"Funding supports development, released time or other participation costs."
Conditions,"Curriculum integration and piloting",2,7,29,"International work is tested and built into curricula."
